LINE_NO,LABEL_NO,bianma,dwell_time
K36,25,526,44.5510456852198
K14,16,527,20.30483271375465
K14,14,528,21.38971397293936
K95,23,529,37.820305435292624
K84,12,530,41.612069360248064
K71,21,531,34.84060214011092
K57,22,532,31.240553774235114
K113,3,533,26.742268041237114
K110,26,534,58.51245831354074
K113,12,535,29.299999999999997
K70,12,536,35.17974522570829
305,15,537,22.13468013468013
883,61,538,27.0
517,8,539,25.836734693877553
A10,11,540,33.7
K163,7,541,24.77
K163,5,542,65.39959060873603
517,6,543,39.44
K183,10,544,36.04545454545455
303,19,545,18.9983164983165
311,29,546,22.187919463087248
325,22,547,0.0
312,30,548,18.428571428571427
312,32,549,22.923402340234023
312,29,550,19.142857142857142
K183,13,551,24.090909090909086
K185,16,552,0.0
303,32,553,20.0
337,5,554,21.923076923076923
329,4,555,9.39655172413793
329,6,556,18.087719298245613
312,7,557,21.04861111111111
812,26,558,36.41666666666666
812,25,559,26.58333333333333
812,24,560,34.833333333333336
812,23,561,26.416666666666668
812,12,562,17.42962962962963
819,13,563,28.0
325,46,564,21.214285714285715
889,41,565,24.53191489361702
K25,22,566,0.307692307692308
K24,7,567,30.20833333333333
K22,6,568,23.094017094017094
K25,5,569,10.038461538461538
K24,13,570,22.233009708737864
K24,15,571,38.08012820512821
889,50,572,16.0
65,35,573,25.574468085106385
809,15,574,32.5
889,51,575,18.0
889,53,576,0.0
67,25,577,24.00093880036537
K88,10,578,29.160553633217994
K88,11,579,32.993920972644375
K60,11,580,30.166666666666668
K60,12,581,27.25
326,24,582,32.96590909090909
K185,12,583,25.25
811,9,584,31.4
811,10,585,0.0
K170,1,586,46.98106060606061
K100,24,587,41.197144117877045
K100,25,588,27.20455976079943
K34,1,589,36.48764417363702
506,6,590,27.75757575757576
506,3,591,29.550358016655068
K66,1,592,26.057877813504824
K121,6,593,35.02892809139785
506,5,594,28.473687221851932
K52,30,595,43.627825513483494
K48,10,596,13.335
K52,27,597,34.13915805582165
K48,17,598,33.141485633893325
307,33,599,8.5
A318,25,600,18.52380952380953
307,34,601,14.61111111111111
B8,18,602,28.434255463478568
K106,22,603,21.34959349593496
K139,4,604,35.92857142857143
T20,11,605,30.303767088620894
325,16,606,22.47524752475248
K185,8,607,23.6875
K163,14,608,34.16616438356164
311,19,609,48.63066202090592
K63,4,610,22.53589482056173
K47,23,611,26.43089663049686
K47,24,612,26.684466019417474
K122,30,613,28.882632658808383
K302,27,614,24.078886310904878
K29,6,615,45.300477897252094
K22,24,616,22.28706624605678
K29,1,617,22.02857142857143
K29,2,618,25.88617886178862
K153,8,619,8.63953488372093
K153,9,620,23.692307692307693
K175,17,621,47.14814814814815
K86,6,622,41.132823942756126
K92,29,623,33.172122492080256
K90,1,624,31.54562870080111
K9,3,625,30.670374684016625
T15,2,626,24.0
K172,13,627,32.1578947368421
K172,10,628,36.185322461082286
T15,1,629,13.5
K17,16,630,11.14
K61,3,631,29.524590163934427
K175,3,632,24.368852459016395
K302,22,633,25.91945170977429
K23,2,634,38.35568802781918
K302,24,635,31.81427174975562
K172,21,636,15.32258064516129
K172,20,637,23.433333333333334
K172,15,638,26.928571428571427
K172,16,639,8.745454545454546
K7,2,640,22.087591240875916
K141,14,641,38.14617486338798
T12,2,642,34.392120075046904
K78,19,643,33.196698864929914
K7,18,644,32.83741258741259
K96,9,645,31.90071656945884
K7,15,646,33.43535390530935
K90,8,647,35.714285714285715
K156,12,648,41.03639973527465
K61,18,649,34.05824230387289
523,2,650,35.63529848333803
K128,6,651,36.03660731035621
K58,19,652,29.853338594880825
K74,21,653,45.234348061429536
K92,16,654,40.640241069521274
T4,11,655,43.07463519392733
32,20,656,46.72268321588302
K41,32,657,35.49273335167324
K80,6,658,40.3697447200254
K113,10,659,36.58412843682422
K168,2,660,34.5946479635274
K70,15,661,37.659978455256656
K57,16,662,43.26340326340326
K113,13,663,40.88235294117647
K57,18,664,39.96742653376216
K16,28,665,13.466666666666667
K36,27,666,34.013440860215056
K55,16,667,37.54723004091425
K37,10,668,36.653386177165906
K48,32,669,39.53835830540242
311,31,670,16.08053691275168
311,30,671,20.01197604790419
K301,24,672,12.826347305389222
K159,13,673,16.133333333333333
K159,15,674,33.95
812,33,675,0.0
812,32,676,34.0
812,30,677,24.875
812,31,678,26.416666666666668
812,27,679,27.83333333333333
812,28,680,30.5
883,57,681,27.651515151515152
883,60,682,26.416666666666664
321,9,683,24.02586206896552
K10,31,684,24.05968912380707
K10,32,685,24.319444444444443
A10,13,686,26.544505494505493
K10,36,687,25.986486486486488
A10,12,688,29.628571428571426
K73,26,689,22.204819277108435
K73,25,690,25.416666666666668
K73,27,691,11.530303030303031
K183,19,692,28.11111111111111
305,27,693,17.75
305,24,694,25.333333333333336
325,28,695,0.0
303,31,696,8.35
337,2,697,26.909645909645906
325,38,698,15.657142857142857
303,34,699,0.0
312,3,700,22.1
329,11,701,23.251785714285717
312,2,702,24.70731707317073
818,23,703,25.4
883,49,704,32.6
883,55,705,20.83333333333333
885,56,706,65.25
817,17,707,0.0
886,41,708,22.666666666666668
67,48,709,20.597807017543857
809,10,710,12.88
809,9,711,27.38
331,5,712,21.95
333,4,713,22.65
333,5,714,0.0
325,45,715,14.821428571428571
333,11,716,39.44444444444445
812,17,717,24.403508771929825
65,38,718,22.956521739130437
889,45,719,35.0
65,37,720,23.630434782608692
65,40,721,24.80434782608696
889,46,722,14.0
889,47,723,13.0
889,44,724,23.75555555555556
331,9,725,25.285714285714285
332,11,726,0.0
K25,20,727,41.05769230769231
K24,8,728,46.25
K302,7,729,19.944444444444443
K302,6,730,28.523809523809526
K75,4,731,35.08261112664243
K75,2,732,62.29561502612626
K75,5,733,28.11805555555556
K302,15,734,25.118279569892472
K302,17,735,21.85135135135135
K301,7,736,11.075268817204302
K141,32,737,22.98148148148148
K141,24,738,20.77124183006536
K141,23,739,28.527412280701753
K60,14,740,24.5
K60,13,741,26.5
K60,15,742,33.75
A142,16,743,11.333333333333334
880,7,744,28.428571428571427
880,10,745,29.428571428571427
K60,17,746,27.75
880,11,747,38.63157894736842
323,22,748,0.0
326,22,749,23.9
326,23,750,10.8
326,19,751,22.066666666666666
811,8,752,28.6
816,11,753,29.53333333333333
882,20,754,68.75
K88,7,755,27.179180695847364
881,4,756,30.429752066115704
K121,9,757,28.776381909547737
K48,4,758,22.100745059928737
K155,5,759,35.7772274022274
K43,2,760,32.90444712790074
K155,4,761,30.155797182462518
K41,11,762,28.48936170212766
K164,11,763,28.147727272727273
A142,11,764,26.683962264150946
K93,34,765,38.40808210877139
K41,22,766,49.57197581978286
K54,6,767,31.66184215389164
K137,13,768,27.05639097744361
K79,22,769,36.219815567573995
K59,24,770,40.24371612254299
K46,6,771,40.58158834821935
B4,12,772,38.95988001306483
K62,14,773,28.192912808226552
K122,27,774,15.908238603070432
K47,20,775,33.31670245164595
K40,15,776,18.140854525800766
K146,6,777,24.81970799072317
306,8,778,42.4
K123,4,779,31.777014850469687
K40,12,780,33.6937685032516
323,8,781,0.0
K73,9,782,37.29405228179396
509,13,783,26.76795580110497
509,15,784,30.82955877204998
K13,7,785,31.874780920144836
K6,16,786,33.54808436829653
K27,13,787,37.57879841191384
K92,22,788,0.0
K29,11,789,43.51799983355127
K6,24,790,34.60929633867277
K74,8,791,34.857142857142854
K120,6,792,20.92778993435449
K120,9,793,30.315717035641686
K74,7,794,36.99452606101542
K94,25,795,41.766020064413425
K124,4,796,33.58620689655172
K124,5,797,54.33908045977012
K124,2,798,36.04597701149425
K90,7,799,34.56033136710618
K9,5,800,34.614973427264864
K142,20,801,27.166666666666668
K142,21,802,33.43478260869565
K142,19,803,30.375
A142,18,804,18.733333333333334
K142,18,805,29.83333333333333
K142,16,806,35.458333333333336
T15,5,807,36.64227642276423
T12,1,808,66.30708661417323
K61,10,809,47.25438596491228
K81,2,810,62.12699362041467
K61,7,811,33.74132851885834
K128,19,812,38.46670293540841
K151,30,813,36.04516111358017
B1,7,814,48.4728481588634
K53,11,815,36.941602541856234
K14,6,816,26.381820943619886
503,3,817,29.67986673809683
K87,14,818,25.174791914387637
K131,15,819,23.540183647612608
K161,28,820,35.926479346509154
119,14,821,25.69876673790727
T202,20,822,42.97453703703704
T19,3,823,56.16548672566372
K63,17,824,54.56
504,6,825,41.361239127222234
311,7,826,24.531337975996447
K80,7,827,32.49132809771561
K123,18,828,30.673420720948506
K103,2,829,38.94536908077995
K113,19,830,38.79355855513623
B2,3,831,47.10585381142525
K3,6,832,38.20401090676992
950,2,833,55.414682539682545
K112,15,834,40.988540907770165
K159,12,835,40.1
K159,8,836,15.933333333333334
